year_moth,top_product_category,total_revenue,category_rank
2016-10,moveis_decoracao,10699.61,1
2016-12,fashion_bolsas_e_acessorios,19.62,1
2017-01,moveis_decoracao,27284.98,1
2017-02,moveis_decoracao,34560.23,1
2017-03,cama_mesa_banho,40874.27,1
2017-04,cama_mesa_banho,36487.57,1
2017-05,informatica_acessorios,81820.48,1
2017-06,informatica_acessorios,57930.72,1
2017-07,cama_mesa_banho,99758.18,1
2017-08,cama_mesa_banho,84258.79,1
2017-09,telefonia_fixa,109638.75,1
2017-10,cama_mesa_banho,87338.44,1
2017-11,moveis_decoracao,153085.00,1
2017-12,esporte_lazer,83243.43,1
2018-01,informatica_acessorios,145048.51,1
2018-02,informatica_acessorios,205756.18,1
2018-03,informatica_acessorios,141861.53,1
2018-04,cama_mesa_banho,123393.56,1
2018-05,relogios_presentes,145869.23,1
2018-06,beleza_saude,143591.17,1
2018-07,beleza_saude,144430.48,1
2018-08,beleza_saude,158063.72,1
