customer_state,product_category_name,total_revenue
AC,moveis_decoracao,5261.23
AL,beleza_saude,14741.33
AM,informatica_acessorios,5866.85
AP,informatica_acessorios,4128.95
BA,beleza_saude,65382.14
CE,beleza_saude,45615.12
DF,informatica_acessorios,38634.68
ES,cama_mesa_banho,34481.72
GO,automotivo,57732.00
MA,informatica_acessorios,32283.55
MG,cama_mesa_banho,216969.38
MS,esporte_lazer,14432.14
MT,beleza_saude,21028.01
PA,beleza_saude,31145.63
PB,beleza_saude,19472.68
PE,beleza_saude,55903.70
PI,automotivo,20026.82
PR,moveis_decoracao,114060.51
RJ,cama_mesa_banho,242431.81
RN,beleza_saude,16112.05
RO,beleza_saude,8517.22
RR,esporte_lazer,2579.08
RS,informatica_acessorios,108472.88
SC,informatica_acessorios,63469.16
SE,beleza_saude,9639.74
SP,cama_mesa_banho,756727.97
TO,beleza_saude,8368.96
